title,Rating,maincateg,platform,actprice1,norating1,noreviews1,star_5f,star_4f,star_3f,star_2f,star_1f,fulfilled1,combo,category
Fashionable & Comfortable Bellies For Women  (Brown),3.9,Women,Flipkart,999,38.0,7.0,17.0,9.0,6.0,3,3.0,0,False,bellie
Combo Pack of 4 Casual Shoes Sneakers For Men  (Multicolor),3.8,Men,Flipkart,1999,531.0,69.0,264.0,92.0,73.0,29,73.0,1,True,sneaker
Cilia Mode Leo Sneakers For Women  (White),4.4,Women,Flipkart,4999,17.0,4.0,11.0,3.0,2.0,1,0.0,1,False,sneaker
Men Black Sports Sandal,4.2,Men,Flipkart,724,46413.0,6229.0,1045.0,12416.0,5352.0,701,4595.0,1,False,sandal
Men Green Sports Sandal,3.9,Men,Flipkart,2299,77.0,3.0,35.0,21.0,7.0,7,7.0,1,False,sandal
Women Pink Flats Sandal,4.1,Women,Flipkart,499,274.0,25.0,153.0,49.0,34.0,15,23.0,0,False,sandal
Women Navy Heels Sandal,4.0,Women,Flipkart,999,249.0,31.0,130.0,52.0,27.0,9,28.0,1,False,sandal
Women Blue Wedges Sandal,3.9,Women,Flipkart,1299,121.0,17.0,63.0,25.0,14.0,9,12.0,0,False,sandal
Sneakers For Women  (Pink),4.2,Women,Flipkart,999,191.0,30.0,120.0,25.0,31.0,7,12.0,1,False,sneaker
"Men Black, Beige Sandal",4.1,Men,Flipkart,899,36126.0,5028.0,18688.0,9899.0,3709.0,1272,2558.0,0,False,sandal
TEMPO Men's Combo Pack of 3 Synthetic Loafers & 2 Sneakers - Multicolour,3.3,Men,Amazon,999,222.0,147.0,26.0,4.0,18.0,15,37.0,1,True,sneaker
Women Gold Heels Sandal,4.0,Women,Flipkart,1299,22.0,3.0,12.0,3.0,4.0,1,2.0,1,False,sandal
Flip Flops,4.1,Women,Flipkart,599,41.0,9.0,19.0,13.0,5.0,3,1.0,1,False,flip
Slippers,4.4,Women,Flipkart,1199,101.0,16.0,68.0,20.0,5.0,5,3.0,1,False,slipper
adilette CF+ logo Slides,4.5,Men,Flipkart,3599,141.0,12.0,98.0,25.0,8.0,4,6.0,1,False,other
"Men Black, Blue Sports Sandal",4.2,Men,Flipkart,1999,732.0,99.0,378.0,230.0,70.0,24,30.0,1,False,sandal
Men Tan Sandal,4.0,Men,Flipkart,999,138.0,24.0,68.0,30.0,16.0,14,10.0,0,False,sandal
Perfect Stylish Girls High Ankle Boots For Women  (Pink),4.2,Women,Flipkart,999,9305.0,1619.0,5660.0,1711.0,921.0,319,694.0,1,False,boot
Perfect Stylish Girls Casual Shoes Sneakers For Women  (White),3.9,Women,Flipkart,999,1353.0,202.0,698.0,258.0,174.0,77,146.0,0,False,sneaker
Women Beige Heels Sandal,4.0,Men,Flipkart,999,0.0,0.0,28.0,9.0,10.0,2,5.0,0,False,sandal
170 Smart Grey Lace-Ups Casuals for Men Sneakers For Men  (Grey),4.0,Men,Flipkart,499,26934.0,2952.0,14756.0,4291.0,3068.0,1693,3126.0,1,False,sneaker
Women Multicolor Flats Sandal,3.6,Women,Flipkart,499,569.0,63.0,249.0,97.0,74.0,49,100.0,1,False,sandal
Stylish Flat Mules for women Bellies For Women  (Tan),4.0,Women,Flipkart,699,2270.0,318.0,1117.0,536.0,305.0,130,182.0,1,False,bellie
