id,title,Rating,maincateg,platform,actprice1,Offer %,norating1,noreviews1,star_5f,star_4f,star_3f,star_2f,star_1f,fulfilled1,price1
16695,Fashionable & Comfortable Bellies For Women  (Brown),3.9,Women,Flipkart,999,30.13%,38.0,7.0,17.0,9.0,6.0,3,3,0,698
5120,Combo Pack of 4 Casual Shoes Sneakers For Men  (Multicolor),3.8,Men,Flipkart,1999,50.03%,531.0,69.0,264.0,92.0,73.0,29,73,1,999
18391,Cilia Mode Leo Sneakers For Women  (White),4.4,Women,Flipkart,4999,45.01%,17.0,4.0,11.0,3.0,2.0,1,0,1,2749
495,Men Black Sports Sandal,4.2,Men,Flipkart,724,15.85%,46413.0,6229.0,1045.0,12416.0,5352.0,701,4595,1,518
16408,Men Green Sports Sandal,3.9,Men,Flipkart,2299,40.02%,77.0,3.0,35.0,21.0,7.0,7,7,1,1379
2692,Women Pink Flats Sandal,4.1,Women,Flipkart,499,28.06%,274.0,25.0,153.0,49.0,34.0,15,23,0,359
3236,Women Navy Heels Sandal,4.0,Women,Flipkart,999,50.05%,249.0,31.0,130.0,52.0,27.0,9,28,1,499
14633,Women Blue Wedges Sandal,3.9,Women,Flipkart,1299,83.91%,121.0,17.0,63.0,25.0,14.0,9,12,0,209
1872,Sneakers For Women  (Pink),4.2,Women,Flipkart,999,45.05%,191.0,30.0,120.0,25.0,31.0,7,12,1,549
1668,"Men Black, Beige Sandal",4.1,Men,Flipkart,899,10.01%,36126.0,5028.0,18688.0,9899.0,3709.0,1272,2558,0,809
12634,TEMPO Men's Combo Pack of 3 Synthetic Loafers & 2 Sneakers - Multicolour,3.3,Men,Amazon,999,0.00%,222.0,147.0,26.0,4.0,18.0,15,37,1,999
19065,Women Gold Heels Sandal,4.0,Women,Flipkart,1299,53.89%,22.0,3.0,12.0,3.0,4.0,1,2,1,599
17455,Flip Flops,4.1,Women,Flipkart,599,50.08%,41.0,9.0,19.0,13.0,5.0,3,1,1,299
7526,Slippers,4.4,Women,Flipkart,1199,50.04%,101.0,16.0,68.0,20.0,5.0,5,3,1,599
15555,adilette CF+ logo Slides,4.5,Men,Flipkart,3599,45.01%,141.0,12.0,98.0,25.0,8.0,4,6,1,1979
18031,"Men Black, Blue Sports Sandal",4.2,Men,Flipkart,1999,50.03%,732.0,99.0,378.0,230.0,70.0,24,30,1,999
9354,Men Tan Sandal,4.0,Men,Flipkart,999,62.06%,138.0,24.0,68.0,30.0,16.0,14,10,0,379
17732,Perfect Stylish Girls High Ankle Boots For Women  (Pink),4.2,Women,Flipkart,999,60.06%,9305.0,1619.0,5660.0,1711.0,921.0,319,694,1,399
4549,Perfect Stylish Girls Casual Shoes Sneakers For Women  (White),3.9,Women,Flipkart,999,60.06%,1353.0,202.0,698.0,258.0,174.0,77,146,0,399
12336,Women Beige Heels Sandal,4.0,Women,Flipkart,999,50.05%,78.3716049194336,3.0782809257507324,28.0,9.0,10.0,2,5,0,499
2917,170 Smart Grey Lace-Ups Casuals for Men Sneakers For Men  (Grey),4.0,Men,Flipkart,499,52.71%,26934.0,2952.0,14756.0,4291.0,3068.0,1693,3126,1,236
7379,Women Multicolor Flats Sandal,3.6,Women,Flipkart,499,64.93%,569.0,63.0,249.0,97.0,74.0,49,100,1,175
10536,Stylish Flat Mules for women Bellies For Women  (Tan),4.0,Women,Flipkart,699,67.81%,2270.0,318.0,1117.0,536.0,305.0,130,182,1,225
18886,crocs Unisex's Clogs,4.7,Women,Amazon,1607,0.68%,8.0,4.0,0.0,0.0,0.0,30,70,0,1596
2193,GO WALK JOY-CENTERPIECE Walking Shoes For Women  (Navy),4.4,Women,Flipkart,4299,30.01%,215.0,14.0,142.0,43.0,15.0,3,12,1,3009
15609,flip-flops slipper for men Flip Flops,4.0,Men,Flipkart,599,66.78%,3615.0,299.0,2155.0,441.0,352.0,206,461,1,199
17976,Flip Flops,4.1,Women,Flipkart,399,37.59%,33.0,6.0,17.0,9.0,2.0,4,1,0,249
19308,Boots For Women  (Brown),4.2,Women,Flipkart,999,40.04%,10.0,0.0,6.0,2.0,1.0,0,1,1,599
970,Intraflux M Running Shoes For Men  (Grey),4.1,Men,Flipkart,3880,45.01%,216.0,31.0,176.0,44.0,21.0,8,1,1,2165
13094,Women Black Flats Sandal,4.1,Women,Flipkart,1695,50.97%,14.0,0.0,7.0,4.0,1.0,1,1,1,831
17412,Trendy Look Up Jeans And Kurta Pajama/Synthetic Ethnic Shoes For Men Ethnic Mule For Men  (Black),3.8,Men,Flipkart,999,50.05%,21.0,4.0,13.0,2.0,0.0,0,6,0,499
10916,Jutis For Women  (Multicolor),4.1,Women,Flipkart,999,60.06%,180.0,23.0,100.0,32.0,22.0,10,16,0,399
17709,Fila Men's Bryant Sneakers,3.7,Men,Amazon,1597,64.68%,79.0,40.0,15.0,11.0,10.0,20,44,1,564
10946,Jutis For Women  (Pink),3.9,Women,Flipkart,499,60.12%,369.0,46.0,197.0,50.0,54.0,25,43,0,199
10528,"Bouncer-01 Running shoes for boys | sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight blue shoes for running, walking, gym, trekking, hiking & party Running Shoes Running Shoes For Men  (Blue)",4.1,Men,Flipkart,999,24.02%,11780.0,1748.0,6343.0,2501.0,1268.0,644,1024,1,759
14244,Walking Shoes For Men  (Grey),4.0,Men,Flipkart,999,21.72%,3180.0,475.0,1596.0,705.0,380.0,162,337,1,782
10780,Canvas Shoes For Men  (Red),4.0,Men,Flipkart,999,34.13%,1695.0,266.0,891.0,359.0,204.0,65,176,0,658
9992,FASHION SHOE Loafers For Men  (Brown),4.3,Men,Flipkart,999,59.96%,18.0,3.0,11.0,5.0,0.0,1,1,1,400
20804,"Men Brown, Orange Sports Sandal",4.1,Men,Flipkart,999,18.02%,26640.0,3667.0,14148.0,555.9108276367188,306.67718505859375,1113,2094,1,819
2851,Women Black Heels Sandal,4.0,Women,Flipkart,1499,68.78%,550.0,103.0,283.0,120.0,72.0,27,48,0,468
10752,"Women's/Ladies/Female/Girls Lightweight Comfortable, Casualwear Black High Ankle Length Lace-Up Boots Boots For Women Boots For Women  (Black)",4.4,Women,Flipkart,999,47.45%,5.0,0.0,3.0,1.0,1.0,0,0,0,525
4430,Slippers,3.6,Men,Flipkart,349,37.25%,16140.0,1926.0,6538.0,2868.0,2580.0,1442,2712,0,219
19439,Women Yellow Flats Sandal,4.5,Women,Flipkart,1499,40.03%,69.0,5.0,42.0,21.0,5.0,2,0,1,899
1371,Women Red Heels Sandal,4.2,Women,Flipkart,1699,5.89%,1399.0,263.0,884.0,240.0,119.0,36,120,0,1599
14621,Boots For Women  (Black),4.2,Women,Flipkart,999,57.06%,366.0,84.0,223.0,67.0,39.0,11,26,1,429
20734,Party Wear For Men  (Tan),3.7,Men,Flipkart,799,37.55%,19.0,1.0,9.0,3.0,2.0,2,3,0,499
8442,"Women Girl's Fashion Printed Comfortable Soft Slip On Winter Bellies For Women  (Black, Blue)",4.2,Women,Flipkart,559,55.99%,290.0,48.0,157.0,69.0,35.0,14,15,1,246
4051,Shoes for Women Sneakers For Women  (Blue),4.0,Women,Flipkart,499,30.46%,4147.0,688.0,2175.0,864.0,538.0,204,366,1,347
10684,Canvas Shoes For Men  (Blue),4.0,Men,Flipkart,1799,83.21%,60.0,11.0,29.0,13.0,9.0,6,3,0,302
6840,Jutis Bellies For Women  (Brown),3.4,Women,Flipkart,999,68.47%,26.0,4.0,9.0,7.0,1.0,3,6,0,315
6412,Flip Flops,4.0,Women,Flipkart,499,55.91%,656.0,80.0,368.0,105.0,75.0,40,68,0,220
3239,DD66_4 Jutis For Women  (White),4.5,Women,Flipkart,2500,40.04%,13.0,1.0,11.0,0.0,1.0,0,1,0,1499
16567,Slippers,4.3,Women,Flipkart,999,50.05%,96.0,15.0,61.0,20.0,8.0,4,3,1,499
12960,"Men Tan, Beige, Yellow Sandal",4.2,Men,Flipkart,999,61.06%,19.0,2.0,12.0,2.0,3.0,0,2,0,389
5687,169 Smart Sky Blue Lace-Ups Casuals for Men Sneakers For Men  (Blue),4.0,Men,Flipkart,499,52.71%,26934.0,2952.0,14756.0,4291.0,3068.0,1693,3126,1,236
6792,Bellies For Women  (Tan),4.0,Women,Flipkart,599,50.75%,85.0,10.0,46.0,19.0,7.0,3,10,1,295
10908,Jungle Boots- Oil Stain & Water Resistant- Extra Cushion InnerSole -Light Weight Trekking Shoes Boots For Men (OliveGreen) Boots For Men  (Multicolor),4.3,Men,Flipkart,1399,28.59%,4881.0,943.0,2862.0,1159.0,445.0,169,246,1,999
16556,Flip Flops,3.4,Women,Flipkart,499,33.87%,307.0,33.0,117.0,50.0,38.0,32,70,0,330
14352,SYTHETIC Leather Punjabi Jutti Black Mojaris For Men  (Black),3.9,Men,Flipkart,999,60.06%,19.0,1.0,10.0,4.0,1.0,1,3,0,399
13313,RC3532 003 Lace Up For Men  (Brown),4.1,Men,Flipkart,4299,54.99%,219.0,27.0,112.0,61.0,16.0,14,16,1,1935
5343,Kolhapuri Juttis Slip On For Men  (Tan),4.1,Men,Flipkart,1999,50.03%,199.0,28.0,105.0,52.0,18.0,9,15,1,999
20758,Flip Flops,4.1,Men,Flipkart,890,72.02%,27.0,3.0,14.0,7.0,2.0,4,0,0,249
7068,Slippers,3.6,Men,Flipkart,1299,53.89%,85.0,10.0,41.0,13.0,6.0,7,18,0,599
6597,Slides,3.9,Men,Flipkart,1500,80.00%,153.62460327148438,3.3888721466064453,19.03623390197754,4.616528034210205,10.0,5,9,1,300
15941,Men's Formal Leather Shoes Slip On For Men  (White),4.1,Men,Flipkart,1999,50.03%,14.0,1.0,8.0,2.0,2.0,1,1,1,999
6824,Men Black Casual Sandal,3.9,Men,Flipkart,499,40.08%,192.0,37.0,103.0,31.0,23.0,14,21,0,299
1317,Women Red Heels Sandal,4.1,Women,Flipkart,999,45.35%,654.0,104.0,369.0,125.0,69.0,32,59,0,546
770,"Sneakers For Men  (Yellow, White)",4.1,Men,Flipkart,1014,42.89%,214.0,41.0,150.0,48.0,30.0,17,3,1,603
5575,Women Copper Flats Sandal,4.1,Women,Flipkart,999,65.07%,100.26443481445312,27.0,19.03623390197754,4.616528034210205,22.0,5,15,1,349
3487,GO WALK 5 Walking Shoes For Women  (Navy),4.7,Women,Flipkart,5299,20.00%,12.0,1.0,9.0,2.0,1.0,0,0,1,4239
10577,Stylish Combo Pack of 2 Shoes Sneakers For Women  (Multicolor),3.8,Women,Flipkart,998,36.87%,66.0,13.0,33.0,9.0,11.0,4,9,1,630
18413,Mojaris Jutis For Men  (Brown),4.3,Men,Flipkart,499,20.04%,12.0,2.0,8.0,2.0,1.0,0,1,0,399
4211,"Women's/Ladies/Female/Girls Trendy Fashionable Lightweight Comfortable Partywear, Casual wear Lace-Up Shoes Sneakers For Women  (White)",4.3,Women,Flipkart,999,61.96%,350.0,30.0,213.0,71.0,33.0,13,20,1,380
2631,Men Brown Casual Sandal,4.3,Men,Flipkart,1999,60.03%,55.0,11.0,30.0,17.0,6.0,1,1,1,799
17504,Ankle Length & High Ankle Length Boots For Women  (Tan),3.6,Women,Flipkart,999,57.06%,91.0,14.0,38.0,20.0,9.0,13,14,0,429
12827,Men Orange Sandal,4.0,Men,Flipkart,999,60.16%,14825.0,1945.0,7950.0,2968.0,1848.0,755,1304,0,398
5607,Slides,3.6,Women,Flipkart,349,25.79%,211.0,32.0,84.0,47.0,28.0,17,35,0,259
1106,Women Beige Flats Sandal,4.0,Women,Flipkart,999,68.37%,289.0,42.0,150.0,63.0,29.0,18,29,1,316
10686,Trenzo II IDP Running Shoes For Women  (Grey),4.1,Women,Flipkart,2999,43.01%,10146.0,1398.0,5463.0,2577.0,1003.0,348,755,1,1709
13425,Fashionable Boots for Womens Boots For Women  (Black),4.3,Women,Flipkart,999,45.05%,54.0,9.0,32.0,13.0,5.0,2,2,0,549
14723,Slippers,3.7,Men,Flipkart,499,54.11%,336.0,48.0,160.0,46.0,49.0,30,51,0,229
10063,Slip On For Men  (Brown),4.0,Men,Flipkart,699,10.01%,175.0,26.0,87.0,45.0,17.0,11,15,1,629
12372,Men Green Sports Sandal,4.6,Men,Flipkart,2799,45.02%,23.0,2.0,16.0,4.0,3.0,0,0,1,1539
19486,Mojaris For Men  (Blue),4.2,Men,Flipkart,999,52.55%,50.0,5.0,33.0,5.0,6.0,2,4,0,474
3312,Women Black Flats Sandal,4.1,Women,Flipkart,999,25.03%,375.0,50.0,177.0,107.0,53.0,16,22,1,749
4986,Girls Stylish Cut Work Design Sneakers For Women  (White),4.0,Women,Flipkart,499,30.06%,1573.0,203.0,785.0,340.0,226.0,92,130,1,349
5576,Combo Pack Of 2 Pairs Of Women Slippers Slippers,3.6,Women,Flipkart,999,70.07%,2079.0,272.0,836.0,396.0,314.0,194,339,1,299
180,Derby For Men  (Brown),3.9,Men,Flipkart,1624,79.60%,134.0,20.0,6.0,49.0,20.0,5,16,1,458
5097,Women Pink Bellies Sandal,4.1,Women,Flipkart,499,40.28%,229.0,26.0,118.0,55.0,28.0,14,14,1,298
3610,Bellies For Women  (Tan),3.7,Women,Flipkart,999,50.05%,175.0,33.0,82.0,26.0,24.0,16,27,1,499
7568,Court Vision LowShoe Casuals For Women  (White),4.3,Women,Flipkart,4995,22.66%,37.0,5.0,24.0,6.0,2.0,1,3,1,3863
4262,Slippers,3.6,Women,Flipkart,249,14.46%,346.3126220703125,14.03124713897705,281.71893310546875,43.275814056396484,466.0,281,476,1,213
9638,ZAPATOZ Women White Solid PU Medium-Top Sports Shoes,4.7,Women,Amazon,599,0.00%,4.0,2.0,0.0,0.0,0.0,30,70,1,599
3704,Jutis For Women  (Gold),3.8,Women,Flipkart,1299,78.52%,392.0,51.0,208.0,49.0,47.0,22,66,0,279
16664,Women Blue Wedges Sandal,4.0,Women,Flipkart,399,67.17%,375.0,56.0,196.0,69.0,43.0,26,38,0,131
9235,"807 Boot Shoes For , Womens wear Boots For Women  (Grey)",3.8,Women,Flipkart,999,37.04%,4.0,1.0,2.0,1.0,0.0,0,1,1,629
5162,"SC0620G Canvas Shoes For Men  (Olive, Orange)",4.2,Men,Flipkart,1299,23.86%,5228.0,807.0,3011.0,1188.0,512.0,180,337,1,989
18320,Women Black Wedges Sandal,3.9,Women,Flipkart,999,50.05%,476.0,65.0,218.0,119.0,63.0,33,42,1,499
5390,Women Multicolor Sports Sandal,3.8,Women,Flipkart,499,50.10%,4.0,1.0,1.0,2.0,0.0,1,0,0,249
