ID,Rating,MainCategory,Plateform,ActingPrice,Offer,NumberOfRatings,NumberOfReviews,5Star,4Star,3Star,2Star,1Star,Fulfilled,Combo,Category
16695,3.9,Women,Flipkart,999,30.13,38.0,7.0,17.0,9.0,6.0,3,3,0,False,bellie
5120,3.8,Men,Flipkart,1999,50.03,531.0,69.0,264.0,92.0,73.0,29,73,1,True,sneaker
18391,4.4,Women,Flipkart,4999,45.01,17.0,4.0,11.0,3.0,2.0,1,0,1,False,sneaker
495,4.2,Men,Flipkart,724,15.85,46413.0,6229.0,1045.0,12416.0,5352.0,701,4595,1,False,sandal
16408,3.9,Men,Flipkart,2299,40.02,77.0,3.0,35.0,21.0,7.0,7,7,1,False,sandal
2692,4.1,Women,Flipkart,499,28.06,274.0,25.0,153.0,49.0,34.0,15,23,0,False,sandal
3236,4.0,Women,Flipkart,999,50.05,249.0,31.0,130.0,52.0,27.0,9,28,1,False,sandal
14633,3.9,Women,Flipkart,1299,83.91,121.0,17.0,63.0,25.0,14.0,9,12,0,False,sandal
1872,4.2,Women,Flipkart,999,45.05,191.0,30.0,120.0,25.0,31.0,7,12,1,False,sneaker
1668,4.1,Men,Flipkart,899,10.01,36126.0,5028.0,18688.0,9899.0,3709.0,1272,2558,0,False,sandal
12634,3.3,Men,Amazon,999,0.0,222.0,147.0,26.0,4.0,18.0,15,37,1,True,sneaker
19065,4.0,Women,Flipkart,1299,53.89,22.0,3.0,12.0,3.0,4.0,1,2,1,False,sandal
17455,4.1,Women,Flipkart,599,50.08,41.0,9.0,19.0,13.0,5.0,3,1,1,False,flip
7526,4.4,Women,Flipkart,1199,50.04,101.0,16.0,68.0,20.0,5.0,5,3,1,False,slipper
15555,4.5,Men,Flipkart,3599,45.01,141.0,12.0,98.0,25.0,8.0,4,6,1,False,other
18031,4.2,Men,Flipkart,1999,50.03,732.0,99.0,378.0,230.0,70.0,24,30,1,False,sandal
9354,4.0,Men,Flipkart,999,62.06,138.0,24.0,68.0,30.0,16.0,14,10,0,False,sandal
17732,4.2,Women,Flipkart,999,60.06,9305.0,1619.0,5660.0,1711.0,921.0,319,694,1,False,boot
4549,3.9,Women,Flipkart,999,60.06,1353.0,202.0,698.0,258.0,174.0,77,146,0,False,sneaker
12336,4.0,Men,Flipkart,999,50.05,54.0,6.0,28.0,9.0,10.0,2,5,0,False,sandal
2917,4.0,Men,Flipkart,499,52.71,26934.0,2952.0,14756.0,4291.0,3068.0,1693,3126,1,False,sneaker
7379,3.6,Women,Flipkart,499,64.93,569.0,63.0,249.0,97.0,74.0,49,100,1,False,sandal
10536,4.0,Women,Flipkart,699,67.81,2270.0,318.0,1117.0,536.0,305.0,130,182,1,False,bellie
18886,4.7,Women,Amazon,1607,0.68,8.0,4.0,0.0,0.0,0.0,30,70,0,False,other
2193,4.4,Women,Flipkart,4299,30.01,215.0,14.0,142.0,43.0,15.0,3,12,1,False,shoe
15609,4.0,Men,Flipkart,599,66.78,3615.0,299.0,2155.0,441.0,352.0,206,461,1,False,flip
17976,4.1,Women,Flipkart,399,37.59,33.0,6.0,17.0,9.0,2.0,4,1,0,False,flip
19308,4.2,Women,Flipkart,999,40.04,10.0,0.0,6.0,2.0,1.0,0,1,1,False,boot
970,4.1,Men,Flipkart,3880,45.01,216.0,31.0,176.0,44.0,21.0,8,1,1,False,shoe
13094,4.1,Women,Flipkart,1695,50.97,14.0,0.0,7.0,4.0,1.0,1,1,1,False,sandal
17412,3.8,Men,Flipkart,999,50.05,21.0,4.0,13.0,2.0,0.0,0,6,0,False,shoe
10916,4.1,Women,Flipkart,999,60.06,180.0,23.0,100.0,32.0,22.0,10,16,0,False,juti
17709,3.7,Men,Amazon,1597,64.68,79.0,40.0,15.0,11.0,10.0,20,44,1,False,sneaker
10946,3.9,Women,Flipkart,499,60.12,369.0,46.0,197.0,50.0,54.0,25,43,0,False,juti
10528,4.1,Men,Flipkart,999,24.02,11780.0,1748.0,6343.0,2501.0,1268.0,644,1024,1,False,sneaker
14244,4.0,Men,Flipkart,999,21.72,3180.0,475.0,1596.0,705.0,380.0,162,337,1,False,shoe
10780,4.0,Men,Flipkart,999,34.13,1695.0,266.0,891.0,359.0,204.0,65,176,0,False,shoe
9992,4.3,Men,Flipkart,999,59.96,18.0,3.0,11.0,5.0,0.0,1,1,1,False,shoe
20804,4.1,Men,Flipkart,999,18.02,26640.0,3667.0,14148.0,6414.0,3207.0,1113,2094,1,False,sandal
2851,4.0,Women,Flipkart,1499,68.78,550.0,103.0,283.0,120.0,72.0,27,48,0,False,sandal
10752,4.4,Women,Flipkart,999,47.45,5.0,0.0,3.0,1.0,1.0,0,0,0,False,boot
4430,3.6,Men,Flipkart,349,37.25,16140.0,1926.0,6538.0,2868.0,2580.0,1442,2712,0,False,slipper
19439,4.5,Women,Flipkart,1499,40.03,69.0,5.0,42.0,21.0,5.0,2,0,1,False,sandal
1371,4.2,Women,Flipkart,1699,5.89,1399.0,263.0,884.0,240.0,119.0,36,120,0,False,sandal
14621,4.2,Women,Flipkart,999,57.06,366.0,84.0,223.0,67.0,39.0,11,26,1,False,boot
20734,3.7,Men,Flipkart,799,37.55,19.0,1.0,9.0,3.0,2.0,2,3,0,False,other
8442,4.2,Women,Flipkart,559,55.99,290.0,48.0,157.0,69.0,35.0,14,15,1,False,bellie
4051,4.0,Women,Flipkart,499,30.46,4147.0,688.0,2175.0,864.0,538.0,204,366,1,False,sneaker
10684,4.0,Men,Flipkart,1799,83.21,60.0,11.0,29.0,13.0,9.0,6,3,0,False,shoe
6840,3.4,Women,Flipkart,999,68.47,26.0,4.0,9.0,7.0,1.0,3,6,0,False,juti
6412,4.0,Women,Flipkart,499,55.91,656.0,80.0,368.0,105.0,75.0,40,68,0,False,flip
3239,4.5,Women,Flipkart,2500,40.04,13.0,1.0,11.0,0.0,1.0,0,1,0,False,juti
16567,4.3,Women,Flipkart,999,50.05,96.0,15.0,61.0,20.0,8.0,4,3,1,False,slipper
12960,4.2,Men,Flipkart,999,61.06,19.0,2.0,12.0,2.0,3.0,0,2,0,False,sandal
5687,4.0,Men,Flipkart,499,52.71,26934.0,2952.0,14756.0,4291.0,3068.0,1693,3126,1,False,sneaker
6792,4.0,Women,Flipkart,599,50.75,85.0,10.0,46.0,19.0,7.0,3,10,1,False,bellie
10908,4.3,Men,Flipkart,1399,28.59,4881.0,943.0,2862.0,1159.0,445.0,169,246,1,False,boot
16556,3.4,Women,Flipkart,499,33.87,307.0,33.0,117.0,50.0,38.0,32,70,0,False,flip
14352,3.9,Men,Flipkart,999,60.06,19.0,1.0,10.0,4.0,1.0,1,3,0,False,mojaris
13313,4.1,Men,Flipkart,4299,54.99,219.0,27.0,112.0,61.0,16.0,14,16,1,False,other
5343,4.1,Men,Flipkart,1999,50.03,199.0,28.0,105.0,52.0,18.0,9,15,1,False,other
20758,4.1,Men,Flipkart,890,72.02,27.0,3.0,14.0,7.0,2.0,4,0,0,False,flip
7068,3.6,Men,Flipkart,1299,53.89,85.0,10.0,41.0,13.0,6.0,7,18,0,False,slipper
6597,3.9,Men,Flipkart,1500,80.0,96.0,12.0,48.0,24.0,10.0,5,9,1,False,other
15941,4.1,Men,Flipkart,1999,50.03,14.0,1.0,8.0,2.0,2.0,1,1,1,False,shoe
6824,3.9,Men,Flipkart,499,40.08,192.0,37.0,103.0,31.0,23.0,14,21,0,False,sandal
1317,4.1,Women,Flipkart,999,45.35,654.0,104.0,369.0,125.0,69.0,32,59,0,False,sandal
770,4.1,Men,Flipkart,1014,42.89,214.0,41.0,150.0,48.0,30.0,17,3,1,False,sneaker
5575,4.1,Men,Flipkart,999,65.07,168.0,27.0,84.0,42.0,22.0,5,15,1,False,sandal
3487,4.7,Women,Flipkart,5299,20.0,12.0,1.0,9.0,2.0,1.0,0,0,1,False,shoe
10577,3.8,Women,Flipkart,998,36.87,66.0,13.0,33.0,9.0,11.0,4,9,1,True,sneaker
18413,4.3,Men,Flipkart,499,20.04,12.0,2.0,8.0,2.0,1.0,0,1,0,False,juti
